District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Pashchim Champaran (01),681326,403515,59.22%,7173,1.05%,12086,1.77%,1391,0.2%,15631,2.29%,3486,0.51%,1823,0.27%,492902,72.34%,147704,21.68%,39468,5.79%,14157,2.08%,127631,18.73%,106960,15.7%,3111,0.46%,11203,1.64,6357,0.93%,15439,2.27%,2293,0.34%,546537,80.22%,7505,1.1%,124409,18.26%,18531,2.72%,19320,2.84%,132441,19.44%,188927,27.73%,67300,9.88%,28457,4.18%,4540,0.67%,5075,0.74%,10
Purba Champaran (02),917790,523994,57.09%,12788,1.39%,15118,1.65%,1096,0.12%,17219,1.88%,10210,1.11%,14304,1.56%,674056,73.44%,188750,20.57%,54912,5.98%,15643,1.7%,142336,15.51%,117868,12.84%,6020,0.66%,9949,1.08,8499,0.93%,25504,2.78%,6871,0.75%,754908,82.25%,8737,0.95%,147202,16.04%,28228,3.08%,26137,2.85%,139746,15.23%,224906,24.51%,83333,9.08%,40208,4.38%,9262,1.01%,7206,0.79%,10
Sheohar (03),149211,90307,60.52%,2184,1.46%,2521,1.69%,256,0.17%,3641,2.44%,459,0.31%,854,0.57%,113793,76.26%,28225,18.92%,7193,4.82%,3330,2.23%,17805,11.93%,15598,10.45%,422,0.28%,1291,0.87,494,0.33%,1573,1.05%,613,0.41%,123034,82.46%,1065,0.71%,24499,16.42%,2921,1.96%,2697,1.81%,35169,23.57%,29344,19.67%,21930,14.7%,4756,3.19%,964,0.65%,552,0.37%,10
Sitamarhi (04),725723,416526,57.39%,9342,1.29%,14814,2.04%,1463,0.2%,19018,2.62%,4270,0.59%,6731,0.93%,497002,68.48%,183979,25.35%,44680,6.16%,17200,2.37%,79517,10.96%,68872,9.49%,2985,0.41%,5872,0.81,1788,0.25%,13680,1.89%,3500,0.48%,595889,82.11%,8190,1.13%,118082,16.27%,15931,2.2%,14377,1.98%,153073,21.09%,185591,25.57%,80724,11.12%,23317,3.21%,4128,0.57%,3627,0.5%,10
Madhubani (05),886810,441089,49.74%,12397,1.4%,18494,2.09%,1657,0.19%,27906,3.15%,9698,1.09%,29621,3.34%,628140,70.83%,204820,23.1%,53561,6.04%,25597,2.89%,106947,12.06%,96492,10.88%,2447,0.28%,4334,0.49,3674,0.41%,13096,1.48%,9363,1.06%,766515,86.44%,6631,0.75%,104234,11.75%,12520,1.41%,11532,1.3%,212984,24.02%,223192,25.17%,114054,12.86%,26091,2.94%,5362,0.6%,4638,0.52%,10
Supaul (06),455280,238629,52.41%,16509,3.63%,6923,1.52%,738,0.16%,11534,2.53%,965,0.21%,1733,0.38%,352301,77.38%,83943,18.44%,18711,4.11%,10191,2.24%,42378,9.31%,36573,8.03%,833,0.18%,4193,0.92,779,0.17%,10754,2.36%,2202,0.48%,355457,78.07%,3463,0.76%,94049,20.66%,9002,1.98%,10696,2.35%,139503,30.64%,136999,30.09%,72836,16%,18106,3.98%,2773,0.61%,3422,0.75%,10
Araria (07),595834,341804,57.37%,8952,1.5%,6878,1.15%,1425,0.24%,9739,1.63%,1367,0.23%,2699,0.45%,492839,82.71%,84681,14.21%,18310,3.07%,8325,1.4%,47286,7.94%,40774,6.84%,1657,0.28%,3284,0.55,1571,0.26%,14519,2.44%,14875,2.5%,443441,74.42%,3613,0.61%,133901,22.47%,11751,1.97%,10349,1.74%,153624,25.78%,128133,21.5%,63248,10.62%,22658,3.8%,7525,1.26%,2620,0.44%,10
Kishanganj (08),308989,204893,66.31%,6734,2.18%,4395,1.42%,1667,0.54%,4740,1.53%,1169,0.38%,980,0.32%,254423,82.34%,47198,15.27%,7368,2.38%,3898,1.26%,29534,9.56%,26218,8.49%,619,0.2%,1446,0.47,1251,0.4%,7417,2.4%,2017,0.65%,230473,74.59%,2219,0.72%,74280,24.04%,5078,1.64%,5526,1.79%,55566,17.98%,58861,19.05%,30165,9.76%,9425,3.05%,2946,0.95%,2619,0.85%,10
Purnia (09),591936,350829,59.27%,8113,1.37%,8805,1.49%,1377,0.23%,9816,1.66%,1289,0.22%,1980,0.33%,461903,78.03%,108784,18.38%,21236,3.59%,8572,1.45%,61345,10.36%,51166,8.64%,1993,0.34%,4720,0.8,3466,0.59%,11297,1.91%,5027,0.85%,478903,80.9%,3876,0.65%,104124,17.59%,13628,2.3%,12474,2.11%,135878,22.95%,123645,20.89%,61942,10.46%,29836,5.04%,5480,0.93%,3082,0.52%,10
Katihar (10),582089,380500,65.37%,9448,1.62%,9874,1.7%,2420,0.42%,13993,2.4%,987,0.17%,2066,0.35%,450473,77.39%,107214,18.42%,24392,4.19%,12805,2.2%,50793,8.73%,43472,7.47%,1355,0.23%,4676,0.8,1290,0.22%,18427,3.17%,4927,0.85%,431290,74.09%,3850,0.66%,142018,24.4%,13861,2.38%,11498,1.98%,120090,20.63%,116390,20%,40393,6.94%,35806,6.15%,6491,1.12%,2762,0.47%,10
Madhepura (11),402414,193052,47.97%,4810,1.2%,8748,2.17%,495,0.12%,14452,3.59%,933,0.23%,2181,0.54%,317094,78.8%,69023,17.15%,16139,4.01%,13227,3.29%,34473,8.57%,28769,7.15%,722,0.18%,4538,1.13,444,0.11%,15701,3.9%,1071,0.27%,316082,78.55%,2926,0.73%,82283,20.45%,8512,2.12%,7282,1.81%,126419,31.42%,131921,32.78%,52712,13.1%,15994,3.97%,1967,0.49%,1507,0.37%,10
Saharsa (12),351154,208123,59.27%,5439,1.55%,8550,2.43%,568,0.16%,12603,3.59%,1162,0.33%,2013,0.57%,273611,77.92%,60975,17.36%,16476,4.69%,11411,3.25%,36341,10.35%,31291,8.91%,798,0.23%,3070,0.87,1182,0.34%,6980,1.99%,951,0.27%,277007,78.88%,3133,0.89%,70019,19.94%,6391,1.82%,4279,1.22%,85694,24.4%,89283,25.43%,48700,13.87%,10594,3.02%,1916,0.55%,1082,0.31%,10
Darbhanga (13),817164,503608,61.63%,10085,1.23%,18348,2.25%,3345,0.41%,28425,3.48%,6793,0.83%,13954,1.71%,610853,74.75%,164893,20.18%,41407,5.07%,25959,3.18%,57599,7.05%,49220,6.02%,991,0.12%,5997,0.73,1391,0.17%,16794,2.06%,2226,0.27%,605208,74.06%,7110,0.87%,202609,24.79%,10434,1.28%,10253,1.25%,138044,16.89%,159807,19.56%,74149,9.07%,19211,2.35%,3332,0.41%,2736,0.33%,10
Muzaffarpur (14),876341,461110,52.62%,12901,1.47%,24244,2.77%,1246,0.14%,33281,3.8%,6430,0.73%,13377,1.53%,624766,71.29%,192274,21.94%,57721,6.59%,30640,3.5%,121604,13.88%,107188,12.23%,2845,0.32%,9319,1.06,2252,0.26%,26268,3%,4474,0.51%,746690,85.21%,7827,0.89%,116285,13.27%,18715,2.14%,20334,2.32%,228511,26.08%,254204,29.01%,94777,10.82%,32723,3.73%,4253,0.49%,3093,0.35%,10
Gopalganj (15),389899,108485,27.82%,6448,1.65%,10899,2.8%,539,0.14%,15553,3.99%,6361,1.63%,15578,4%,243600,62.48%,107454,27.56%,38826,9.96%,14123,3.62%,67736,17.37%,59782,15.33%,859,0.22%,6057,1.55,1038,0.27%,9512,2.44%,1057,0.27%,347959,89.24%,2456,0.63%,38411,9.85%,10468,2.68%,10209,2.62%,103748,26.61%,235707,60.45%,63186,16.21%,17578,4.51%,1807,0.46%,1585,0.41%,10
Siwan (16),519048,155238,29.91%,7697,1.48%,17633,3.4%,1073,0.21%,25001,4.82%,18331,3.53%,14409,2.78%,295444,56.92%,158098,30.46%,65501,12.62%,23850,4.59%,77510,14.93%,67851,13.07%,1155,0.22%,7920,1.53,584,0.11%,14851,2.86%,1267,0.24%,453450,87.36%,3643,0.7%,60683,11.69%,13147,2.53%,10360,2%,133429,25.71%,301119,58.01%,99142,19.1%,20906,4.03%,1587,0.31%,1689,0.33%,10
Saran (17),577746,201969,34.96%,11349,1.96%,24186,4.19%,474,0.08%,36613,6.34%,9890,1.71%,9439,1.63%,351364,60.82%,169284,29.3%,57057,9.88%,34069,5.9%,80497,13.93%,70529,12.21%,1498,0.26%,7472,1.29,998,0.17%,17257,2.99%,1364,0.24%,505261,87.45%,3930,0.68%,67159,11.62%,11477,1.99%,7670,1.33%,169530,29.34%,294776,51.02%,108207,18.73%,21168,3.66%,1578,0.27%,1325,0.23%,10
